"Tetragenococcus muriaticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","Tetragenococcus muriaticus","strain"
"Thaumasiovibrio occultus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Thaumasiovibrio","Thaumasiovibrio occultus","strain"
"Thermincola carboxydiphila","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Thermincolaceae","Thermincola","Thermincola carboxydiphila","strain"
"Thermoanaerobacterium aotearoense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterium","Thermoanaerobacterium aotearoense","strain"
"Thermoclostridium caenicola","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Thermoclostridium","Thermoclostridium caenicola","strain"
"Thermoclostridium stercorarium","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Thermoclostridium","Thermoclostridium stercorarium","strain"
"Thermoclostridium stercorarium subsp. leptospartum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Thermoclostridium","Thermoclostridium stercorarium","strain"
"Thermosinus carboxydivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Thermosinus","Thermosinus carboxydivorans","strain"
"Thermotalea metallivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Thermotalea","Thermotalea metallivorans","strain"
"Thorsellia anophelis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Thorselliaceae","Thorsellia","Thorsellia anophelis","strain"
"Tidjanibacter massiliensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Tidjanibacter","Tidjanibacter massiliensis","strain"
"Tindallia californiensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Tindallia","Tindallia californiensis","strain"
"Tindallia magadiensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Tindallia","Tindallia magadiensis","strain"
"Tindallia texcoconensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Tindallia","Tindallia texcoconensis","strain"
"Tissierella creatinini","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Tissierellaceae","Tissierella","Tissierella creatinini","strain"
"Tolumonas auensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas","Tolumonas auensis","strain"
"Tolumonas osonensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas","Tolumonas osonensis","strain"
"Trichococcus palustris","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus palustris","strain"
"Trichococcus pasteurii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus pasteurii","strain"
"Tyzzerella nexilis DSM 1787","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Tyzzerella","[Clostridium] nexile","[Clostridium] nexile DSM 1787"
"Ureaplasma canigenitalium","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma canigenitalium","strain"
"Ureaplasma gallorale","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma gallorale","strain"
"Ureaplasma parvum","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma parvum","strain"
"Ureaplasma urealyticum serovar 8 str. ATCC 27618","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma urealyticum","Ureaplasma urealyticum serovar 8 str. ATCC 27618"
"Ureibacillus composti","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Planococcaceae","Ureibacillus","Ureibacillus composti","strain"
"Ureibacillus manganicus DSM 26584","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Planococcaceae","Ureibacillus","Ureibacillus manganicus","Ureibacillus manganicus DSM 26584"
"Ureibacillus thermophilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Planococcaceae","Ureibacillus","Ureibacillus thermophilus","strain"
"Urmitella timonensis","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Tissierellaceae","Urmitella","Urmitella timonensis","strain"
"Vagococcus carniphilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus carniphilus","strain"
"Vagococcus fluvialis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus fluvialis","strain"
"Vagococcus humatus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus humatus","strain"
"Vagococcus penaei","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus penaei","strain"
"Vagococcus teuberi","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus teuberi","strain"
"Vallitalea guaymasensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Vallitaleaceae","Vallitalea","Vallitalea guaymasensis","strain"
"Vallitalea pronyensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Vallitaleaceae","Vallitalea","Vallitalea pronyensis","strain"
"Vampirovibrio chlorellavorus","Bacteria","Cyanobacteriota/Melainabacteria group","Candidatus Melainabacteria","class","Vampirovibrionales","family","Vampirovibrio","Vampirovibrio chlorellavorus","strain"
"Variimorphobacter saccharofermentans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Variimorphobacter","Variimorphobacter saccharofermentans","strain"
"Veillonella atypica","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella atypica","strain"
"Veillonella caviae","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella caviae","strain"
"Veillonella criceti","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella criceti","strain"
"Veillonella denticariosi","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella denticariosi","strain"
"Veillonella dispar","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella dispar","strain"
"Veillonella infantium","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella infantium","strain"
"Veillonella magna","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella magna","strain"
"Veillonella montpellierensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella montpellierensis","strain"
"Veillonella parvula","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula","strain"
"Veillonella parvula DSM 2008","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula","Veillonella parvula DSM 2008"
"Veillonella ratti","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella ratti","strain"
"Veillonella rodentium","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rodentium","strain"
"Veillonella rogosae","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rogosae","strain"
"Veillonella tobetsuensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella tobetsuensis","strain"
"Vibrio agarivorans","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio agarivorans","strain"
"Vibrio algivorus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio algivorus","strain"
"Vibrio cholerae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio cholerae","strain"
"Vibrio diazotrophicus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio diazotrophicus","strain"
"Vibrio fluvialis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio fluvialis","strain"
"Vibrio halioticoli","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio halioticoli","strain"
"Vibrio parahaemolyticus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio parahaemolyticus","strain"
"Vibrio penaeicida","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio penaeicida","strain"
"Vibrio salilacus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio salilacus","strain"
"Vibrio tapetis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio tapetis","strain"
"Vibrio tapetis subsp. britannicus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio tapetis","strain"
"Vibrio vulnificus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio vulnificus","strain"
"Vibrio vulnificus NBRC 15645 = ATCC 27562","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio vulnificus","Vibrio vulnificus NBRC 15645 = ATCC 27562"
"Vibrio zhugei","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio zhugei","strain"
"Vicinamibacter silvestris","Bacteria","clade","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacter","Vicinamibacter silvestris","strain"
"Victivallis vadensis","Bacteria","PVC group","Lentisphaerota","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Victivallis vadensis","strain"
"Victivallis vadensis ATCC BAA-548","Bacteria","PVC group","Lentisphaerota","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Victivallis vadensis","Victivallis vadensis ATCC BAA-548"
"Virgibacillus byunsanensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus byunsanensis","strain"
"Virgibacillus carmonensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus carmonensis","strain"
"Virgibacillus dakarensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus dakarensis","strain"
"Virgibacillus flavescens","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus flavescens","strain"
"Virgibacillus halodenitrificans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus halodenitrificans","strain"
"Virgibacillus halophilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus halophilus","strain"
"Virgibacillus litoralis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus litoralis","strain"
"Virgibacillus natechei","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus natechei","strain"
"Virgibacillus necropolis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus necropolis","strain"
"Virgibacillus zhanjiangensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus zhanjiangensis","strain"
"Vulcanibacillus modesticaldus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Vulcanibacillus","Vulcanibacillus modesticaldus","strain"
"Wukongibacter baidiensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Wukongibacter","Wukongibacter baidiensis","strain"
"Xenorhabdus beddingii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus beddingii","strain"
"Xenorhabdus cabanillasii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus cabanillasii","strain"
"Xenorhabdus doucetiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus doucetiae","strain"
"Xenorhabdus eapokensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus eapokensis","strain"
"Xenorhabdus hominickii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus hominickii","strain"
"Xenorhabdus indica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus indica","strain"
"Xenorhabdus magdalenensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus magdalenensis","strain"
"Xenorhabdus mauleonii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus mauleonii","strain"
"Xenorhabdus miraniensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus miraniensis","strain"
"Xenorhabdus poinarii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus poinarii","strain"
"Xenorhabdus romanii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus romanii","strain"
"Xenorhabdus stockiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus stockiae","strain"
"Xenorhabdus szentirmaii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus szentirmaii","strain"
"Yersinia enterocolitica subsp. palearctica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia enterocolitica","strain"
"Yersinia entomophaga","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia entomophaga","strain"
"Yersinia frederiksenii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia frederiksenii","strain"
"Yersinia massiliensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia massiliensis","strain"
"Yersinia nurmii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia nurmii","strain"
